Human subject ID,Subjective opinion (Korean),Subjective opinion (English – DeepL translation),Level of Difficulty,Focused Facial Features
307,"사람얼굴 인식을 가장 먼저했는데, 순서상 1번이어서 시작했습니다. 픽셀, 해상도, 얼굴형, 좌우비대칭, 헤어스타일을 비교하면서 선택했으며, frontal 이미지가 선택지에 주어졌으며, 보기 예시는 angle이 여러 방향이어서, 예측을 해서 선택을 해야 했습니다. 그리고 표정이 있었습니다. (입꼬리, 입모양, 눈웃음 등. 광대, 코, 볼 등) 턱선, 얼굴형, 헤어라인, 콧볼 주요 4가지가 구분하는데 결정적이었으며, 눈매, 눈썹모양도 구분 쉬웠음. 피부노화, 쳐짐을 쉽게 구분 가능했으며 (노화, 연령 높은 분 쉽게 찾음) (어둡고 피부가 쳐져 보임. 아래로 늘어져 보임. 팔자주름). 지방 볼살 à 상대적으로 밝게 나와서 선택하기 쉬웠음. 굴곡이 있거나 입체적인 부분, 살찐 볼살. 후반부로 갈수록 (1시간 정도 경과) 집중력이 떨어지고 눈이 아픔. 데이터셋을 많이 돌리면 일정 시점부터 정확도가 내려갈 것 같음. 휴식을 10분셋으로 하고 사용자가 준비되면 시작할 수 있게 조정 가능. 범위가 늘어나야 함. (충분한 휴식시간 필요함.) 눈이 너무 피로함. 매해지고 아픔. Data augmentation à 앞머리 모양 배제하고 돌려야 할 것 같음. 1시간 이후부터 앞머리 모양만 보고 맞춤. 눈이 너무 아프고 집중력이 떨어짐. 이미지가 일정 팬턴이 있음. 랜덤인 것 같지만 선택지 답의 위치가 패턴있음.","I started with human face recognition, which was number one in the order. Pixel, resolution, face shape, left-right asymmetry, and hairstyle were compared and selected, and a frontal image was given as a choice, and the example had multiple angles, so I had to make a prediction and make a choice. Then there were facial expressions (corners of the mouth, mouth shape, smiles, etc.) Jawline, face shape, hairline, and nostrils were crucial to distinguish, and eye and eyebrow shape were easy to distinguish. Skin aging and sagging were easy to distinguish (aging and older people were easy to find) (dark, sagging skin, drooping skin, nasolabial folds). Fatty cheeks  were relatively light and easy to pick out. Curved or dimpled areas, fatty cheeks. Toward the end (about an hour in), I lost focus and my eyes hurt. Accuracy seems to drop off at some point if you run a lot of datasets. Could be adjusted to have 10 minute breaks and start when user is ready. Range needs to be increased. (Need more breaks.) Eyes are too tired. Burning and sore. Data augmentation  Maybe we should remove bangs from the equation. Fit by bangs only after 1 hour. My eyes hurt too much and I can't concentrate. Image has a certain pantone. Seems random, but there is a pattern to the placement of the answer choices.","Toward the end (about an hour in), I lost focus and my eyes hurt. My eyes hurt too much and I can't concentrate.","I started with human face recognition, which was number one in the order. Pixel, resolution, face shape, left-right asymmetry, and hairstyle were compared and selected, and a frontal image was given as a choice, and the example had multiple angles, so I had to make a prediction and make a choice. Then there were facial expressions (corners of the mouth, mouth shape, smiles, etc.) Jawline, face shape, hairline, and nostrils were crucial to distinguish, and eye and eyebrow shape were easy to distinguish. Skin aging and sagging were easy to distinguish (aging and older people were easy to find) (dark, sagging skin, drooping skin, nasolabial folds). Fatty cheeks  were relatively light and easy to pick out. Curved or dimpled areas, fatty cheeks."
308,난이도: 어려웠음,Difficulty: Difficult,Difficulty: Difficult,Where did you focus your attention when recognizing:
,1. 측면에서 정면 유추가 어려움,1. difficulty with side-to-front analogies,1. difficulty with side-to-front analogies,1. roundness and elongation of the face
,2. 표정변화가 어려움,2. difficulty recognizing facial expressions,2. difficulty recognizing facial expressions,"2. proportionality of forehead, pharynx"
,,,,"3. eye corners, wrinkles"
,인식할 때 어디를 주목했는지:,Where did you focus your attention when recognizing:,,4. gender-specific contours
,1. 얼굴의 동그란 형태와 길쭉한 형태,1. roundness and elongation of the face,,5. forehead-areas covered by hairstyle
,"2. 이마, 인중의 비례","2. proportionality of forehead, pharynx",,
,"3. 눈꼬리, 주름","3. eye corners, wrinkles",,
,4. 성별에 따른 윤곽,4. gender-specific contours,,
,5. 이마-헤어스타일로 가려진 부분,5. forehead-areas covered by hairstyle,,
,,,,
,실험에 대한 전체적인 의견:,General comments on the experiment:,,
,"몇 번째 세트인지, 몇 번째 문제인지 알려줬으면 합니다.",I would like to know how many sets and how many problems this is.,,
400,"해상도가 나쁠 때와 좋을 때의 차이가 큰 것 같음 (해상도가 나쁘면 난이도가 높음.) 인식할 때 주로 얼굴의 윤곽, 귀 2개를 많이 보게 됨. 사진이 대체로 유사해서 오히려 헷갈리는 듯. 얼굴 인지에 관련해서 조금 더 여러 사람이 나오고, 또 표정이 다양하게 준비되면 좋을 것 같음.","There seems to be a big difference between bad and good resolution (difficulty is higher in bad resolution). Recognition mainly sees the outline of the face and 2 ears. The photos are mostly similar, which is confusing. It would be better if there were more people and different facial expressions for face recognition.",There seems to be a big difference between bad and good resolution (difficulty is higher in bad resolution).,"Recognition mainly sees the outline of the face and 2 ears. The photos are mostly similar, which is confusing."
401,몇 몇 사진에 있어서 흑백 필터가 제대로 처리되지 않은 사진이 있어서 이 부분으로 사진이 유추가 가능해 이 점이 조금 아쉬웠습니다.,"There were a couple of photos where the black and white filter wasn't handled properly, which was a little disappointing because you could tell from the photos.",,
402,"- 어려운게 더 많은 것 같고, 같은 사람들만 나와서 그 사람의 분위기나 느낌들로 선택하게 됨.","- It seems to be more difficult, and you only see the same people, so you choose based on their mood or feelings.","- It seems to be more difficult, and you only see the same people, so you choose based on their mood or feelings.",- You chose based on hairstyle or face shape.
,- 머리 모양이나 얼굴형을 주목해서 선택하였음.,- You chose based on hairstyle or face shape.,,
,- 과학적 근거에 따라 설정하였겠지만 세션이 너무 많은 느낌,"- I feel like there is a scientific basis for this, but there are too many sessions.",,
,- 처음 설명해주실 때 얼굴이 정면이 아닌 구도가 나올 수도 있다고 설명해주시면 실험 초반 이해도가 높을 것 같음,- It would be helpful to explain at the beginning of the experiment that the faces might not be in the frontal view.,,
403,"생각보다 낮은 화질로 나왔습니다. 거의 판별이 불가능한 사진도 많았는데, 낮은 화질에서도 1. 얼굴형 2. 추정연령대 3. 남/여는 대부분은 구별 가능하였습니다. 얼굴형으로 가장 크게 구분하였는데 2가지를 크게 보았습니다. 둥그스러운 얼굴. 달갈형이 많았습니다. 이렇게 얼굴의 두 길이를 보고 얼굴형을 판단하여 실험을 진행하였습니다. 인식 순위: 얼굴형 -> 추정연령대 -> 성별 정면에서 봤을 때와 측변에서 보았을 때도 큰 차이가 있는 것 같았습니다.","There were many photos that were almost indistinguishable, but even with the low quality, I was able to distinguish 1. face shape 2. estimated age 3. male/female for the most part. The biggest distinction was face shape, and I saw two main types. Round faces. There were many moon-shaped faces. We conducted the experiment by judging the face shape by looking at the two lengths of the face. Recognition ranking: Face shape -> Estimated age -> Gender There seemed to be a big difference between frontal and side views.","There were many photos that were almost indistinguishable,","but even with the low quality, I was able to distinguish 1. face shape 2. estimated age 3. male/female for the most part. The biggest distinction was face shape, and I saw two main types. Round faces. There were many moon-shaped faces. We conducted the experiment by judging the face shape by looking at the two lengths of the face. Recognition ranking: Face shape -> Estimated age -> Gender There seemed to be a big difference between frontal and side views."
404,너무 어려워서 거의 찍다싶이 풀었습니다.,It was so difficult that I almost took a picture of it.,It was so difficult that I almost took a picture of it.,"I tried to match based on similarities in face shape, eye, nose, and mouth position, and hairstyle."
,"얼굴형, '눈, 코, 입' 위치, 머리스타일의 유사성을 보고 맞추려고 했습니다.","I tried to match based on similarities in face shape, eye, nose, and mouth position, and hairstyle.",,"When I tried to focus on specific parts to find the right picture, it was hard to choose. "
,특정 부분에 집중해서 맞는 그림을 찾으려고 하면 고르기가 어려웠습니다. ,"When I tried to focus on specific parts to find the right picture, it was hard to choose. ",,"Later, I tried to memorize the overall outline to find the right picture."
,나중에는 전체 윤곽을 기억해서 맞는 그림을 찾으려고 했습니다.,"Later, I tried to memorize the overall outline to find the right picture.",,I found this method to be ineffective because I was getting sleepy and losing focus.
,졸음이 와서 집중력이 떨어지니 이 방법의 효율이 떨어지는 느낌이 들었습니다.,I found this method to be ineffective because I was getting sleepy and losing focus.,,"As the picture in question was repeated, I felt that the difficulty became a little easier as I remembered the person."
,문제의 그림이 반복되니 인물을 기억하게 되면서 난이도가 조금 쉬워지는 느낌이 들었습니다.,"As the picture in question was repeated, I felt that the difficulty became a little easier as I remembered the person.",,I tried to categorize them as male vs. female and young vs. old.
,"남자 vs. 여자, 젊은사람 vs. 늙은사람으로 구분해서 풀려고 했습니다.",I tried to categorize them as male vs. female and young vs. old.,,
405,"저해상도는 눈코입 위치만 보여서 인식하기 어려웠음. 머리스타일(이마 모양)과 얼굴형, 눈매를 주목함. 1 trial에 80번은 좀 많은 것 같습니다.","Low resolution was difficult to recognize because it only showed the position of the nose. Noted hairstyle (forehead shape), face shape, and eye color. 80 trials for 1 trial seems a bit much.",Low resolution was difficult to recognize because it only showed the position of the nose,"Noted hairstyle (forehead shape), face shape, and eye color."
406,Pre-test에 비해 난이도가 높아졌습니다.,The difficulty level was increased compared to the pre-test.,The difficulty level was increased compared to the pre-test.,"I mainly paid attention to the hairstyle (whether it was a kama, ear covering, perm), mouth shape (+eyebrow shape) (+ear shape) (+fleshiness) Initially, I tried to find the person in the photo, but later on, I learned and was able to predict who it was."
,"주로 머리모양(가르마, 귀를 덮는 여부, 파마), 입모양에 주목했습니다. (+눈썹모양) (+귀모양) (+살집이 있는 정도) 처음엔 사진 중 인물을 찾으려고 노력했으나 뒤에는 학습이 되어 누군지 예측이 가능했습니다.","I mainly paid attention to the hairstyle (whether it was a kama, ear covering, perm), mouth shape (+eyebrow shape) (+ear shape) (+fleshiness) Initially, I tried to find the person in the photo, but later on, I learned and was able to predict who it was.",,
407,1. 생각보다 어렵다고 느껴졌습니다.,1. it was harder than I thought it would be.,1. it was harder than I thought it would be.,"2. Most of the time I seem to focus on the face shape or hairstyle, or where the contrast will be."
,2. 대부분 얼굴형이나 머리모양에 주목을 하게 되는 것 같습니다. 혹은 콘트라스트가 어디에서 생길까 하는 부분에 집중하는 것 같기도 하고.,"2. Most of the time I seem to focus on the face shape or hairstyle, or where the contrast will be.",,
499,-,-,-,-
500,"전반적으로 너무 어렵다. 옆모습 보고 앞모슾 맞추는게 어렵고, 몇가지는 거의 얼굴 형태도 못 알아볼 정도로. 그럴때마다 그냥 찍을 수 밖에 없어서 도움이 될지 모르겠습니다. 남녀구분으로 고르기도 하고 볼살 크기 코 모양에 집중하였습니다. 그리고 머리스타일.","Overall, it's very difficult to match the side and front view, and some of them I can barely recognize the face shape. I don't know if that helps, because sometimes I just have to take a picture of it. I tried to make it gender-specific and focused on the size of the cheekbones, nose shape, and hairstyle.","Overall, it's very difficult to match the side and front view, and some of them I can barely recognize the face shape. I don't know if that helps, because sometimes I just have to take a picture of it.","tried to make it gender-specific and focused on the size of the cheekbones, nose shape, and hairstyle."
502,- 문제가 어려웠어요.,- The problem was difficult.,- The problem was difficult.,
,- 똑같은 문제를 푸는 느낌이 들었어요.,- I felt like I was solving the same problem.,- I felt like I was solving the same problem.,
503,얼굴 골격으로 남자인지 여자인지 구분했다. 머리나 장식이 달라서 구별하기 쉬웠다. 해상도가 낮거나 눈코입이 안 보이는 사진은 구별하기 어려웠다.,The facial skeleton was used to identify whether it was a man or a woman. Different hairstyles and jewelry made it easier to distinguish. Photos with low resolution or no visible nostrils were difficult to distinguish.,Different hairstyles and jewelry made it easier to distinguish. Photos with low resolution or no visible nostrils were difficult to distinguish.,The facial skeleton was used to identify whether it was a man or a woman.
504,"너무 어려웠습니다… 머리 모양/눈썹 모양을 위주로 인식했습니다. (명암). 인식하는데 주어진 시간이 너무 짧아요. ㅠㅠ (아마, 어려워서 더 그렇게 느껴졌던 것 같습니다.) 문제가 너무 많아요. ㅠㅠ… 실험시간을 3시간으로 공지해 주셨으면 좀 더 여유 있었을 것 같아요. 정면 사진만으로 다양한 표정/각도에서의 해상도 낮은 사진을 구분 짓기가 상당히 힘들었습니다. 같은 그림 찾기 (test 문제처럼) 절반 + 본 실험 절반으로 문제 수를 조절하면, 처음 접한 사람들도 문제 푸는 동안 적응(?)해서 더 쉽게 순차적으로 난이도의 어려움을 받아들일 수 있었지 않을까 조심히 제안해 봅니다. 고생 많으셨습니다. 감사합니다. 😊","It was too difficult... I mainly recognized the head shape/eyebrow shape (contrast). The time given to recognize was too short... (Probably, it felt more so because of the difficulty.) There were too many questions... I think if you had announced the experiment time as 3 hours, I would have had more time. It was quite difficult to distinguish low-resolution photos with various expressions/angles using only frontal photos. I gently suggest that if you adjusted the number of questions to half the same picture (like the TEST question) + half this experiment, first-timers could have adapted (?) while solving the questions and could have more easily accepted the difficulty sequentially. Thank you for your hard work. 😊","It was too difficult... The time given to recognize was too short... (Probably, it felt more so because of the difficulty.)",I mainly recognized the head shape/eyebrow shape (contrast).
505,"- 머리 모양(길이, 가르마) 등이 두드러지는 경우 얼굴이 잘 보이지 않아도 구분하기 용이했습니다.","- If the hair shape (length, garma, etc.) was prominent, it was easier to recognize even if the face was hard to see.",,"- If the hair shape (length, garma, etc.) was prominent, it was easier to recognize even if the face was hard to see."
,- 인물의 얼굴이 익숙해져서 좀 더 확신을 갖고 선택하는 경우가 초반에 비해 많아졌습니다.,"- As I became more familiar with the faces of the characters, I made more confident selections compared to the beginning.",,"- As I became more familiar with the faces of the characters, I made more confident selections compared to the beginning."
,- 표정을 지은 점묘화의 경우 얼굴형과 눈 코 모양 등이 달라져 비확신 또는 선택하지 못하게 되는 경우가 잦아졌습니다.,"- In the case of facial expressions, the different face shapes, eye and nose shapes, and so on, made the selection more often unsure or unsuccessful.",,"- In the case of facial expressions, the different face shapes, eye and nose shapes, and so on, made the selection more often unsure or unsuccessful."
,- 익숙해진 얼굴의 경우 점묘화가 나왔을 때 (뒤의 선택 사진이 나오기 전) 저화질에서도 그 인물의 얼굴을 먼저 떠올리게 되는 경우도 있었습니다.,"- In the case of the familiar faces, the person's face was sometimes the first thing that came to mind when the caricature was shown (before the subsequent selection photo), even at low quality.",,"- In the case of the familiar faces, the person's face was sometimes the first thing that came to mind when the caricature was shown (before the subsequent selection photo), even at low quality"
506,"난이도가 꽤 어렵다. 얼굴 윤곽선(턱선, 목길이, 헤어라인 등)을 먼저보고 구분이 안 갈 때는 특징적인 부분을 찾아서 대조. (음영, 이목구비 라인 등등). 뒤로 갈수록 조금씩 사람 얼굴에 익숙해져 안 보이던 윤곽이 잘 보이는 것 같습니다.","The difficulty level is quite high. Start by looking at the outline of the face (jawline, neck length, hairline, etc.) and if you can't tell, look for features and contrast them. (shading, jawline, etc.). As you go backwards, you get more and more familiar with the person's face, and you can see the contours that you couldn't see before.",The difficulty level is quite high.,"Start by looking at the outline of the face (jawline, neck length, hairline, etc.) and if you can't tell, look for features and contrast them. (shading, jawline, etc.). As you go backwards, you get more and more familiar with the person's face, and you can see the contours that you couldn't see before."
507,"기계가 저 정도를 인식할 수 있는 수준이 가능할까 싶을 정도로 어려웠다. 화소가 적은 점묘화는 어려운게 당연하지만 그렇지 않은 것들 중에서도 닮은 사람이 많아 헷갈렸다. 눈매와 입꼬리로 구별하려 했는데 입꼬리가 올라간 점묘화의 답 후보에 입꼬리가 내려간 사람만 있는 경우가 더러 있어 그렇게만 구분하면 안 될 것 같았다. 하다보니 머리칼, 눈썹, 얼굴라인에 주목하면 된다는 것을 알았다. 그러나 여전히 닮은 사람이 많아 확신을 가지고 체크하고 있지는 않다.","It was so difficult that I wondered if it was even possible for a machine to recognize that level of detail. I tried to distinguish between the eyes and the corners of the mouth, but sometimes the answer candidates with the corners of the mouth up were the only ones with the corners of the mouth down, so I didn't think that was enough. I realized that I could pay attention to hair, eyebrows, and facial lines, but there are still a lot of similarities, so I'm not sure if I can do it with confidence.",It was so difficult that I wondered if it was even possible for a machine to recognize that level of detail.,"I tried to distinguish between the eyes and the corners of the mouth, but sometimes the answer candidates with the corners of the mouth up were the only ones with the corners of the mouth down, so I didn't think that was enough. I realized that I could pay attention to hair, eyebrows, and facial lines, but there are still a lot of similarities, so I'm not sure if I can do it with confidence."
508,"난이도 어렵다. 비확신이 너무 많고 잘 알아보기 힘듦. 너무 많아서 확신 없는데 확신한 것도 있음. 노래가 나른해서 너무 졸림. 꿈에 나올 것 같다. 너무너무 졸리다. 확신하지 않는데 뭔가 보이는 것 같은 착각이듬. _ _ 특징 비슷한 사람이 너무 많고, 얼굴형, 헤어라인. (눈코입을 처음엔 보려고 했는데 소용이 없어서 전체적인 틀을 봄. 같은 문제가 많이 나는데 지루함. 졸림 근데 어려움.)","Difficulty Difficult. Too many uncertainties and hard to recognize. Too many things I'm not sure about, but some things I'm sure about. The song is very sleepy. I feel like I'm in a dream. Too sleepy. I feel like I'm seeing things even though I'm not sure. There are too many people with similar features, face shape, hairline. (I tried to look at the nose at first, but it didn't work, so I looked at the whole frame. I'm bored with the same problem. I'm sleepy, but it's difficult.)","Difficulty Difficult. Too many uncertainties and hard to recognize. Too many things I'm not sure about, but some things I'm sure about. The song is very sleepy. I feel like I'm in a dream. Too sleepy. I feel like I'm seeing things even though I'm not sure.","There are too many people with similar features, face shape, hairline. (I tried to look at the nose at first, but it didn't work, so I looked at the whole frame. I'm bored with the same problem. I'm sleepy, but it's difficult.)"
601,"인식할 때 헤어스타일 à 코 à 볼 순서로 본 것 같습니다. 연령과 성별이 예측되면, 헤어스타일만 보아도 확신히 드는 것 같습니다. 점자화 되어 나오는 이미지만 아니면, 다른 이미지는 쉬운 것 같습니다.","When recognizing, it seems to look at hairstyle à nose à in that order. Once the age and gender are predicted, it seems to be convincing just by looking at the hairstyle. Other than the braille image, the other images seem to be easy.","Other than the braille image, the other images seem to be easy.","When recognizing, it seems to look at hairstyle à nose à in that order. Once the age and gender are predicted, it seems to be convincing just by looking at the hairstyle."
602,"헤어스타일만 보고 구분하는데 도움을 입었는데, 모두 동일한 헤어스타일이었다면 구분하기 매우 어려웠을 것 같다(+체형 또한)","The hairstyle alone helped me distinguish them, but if they all had the same hairstyle, it would have been very difficult to tell them apart (+ body type).",,"The hairstyle alone helped me distinguish them, but if they all had the same hairstyle, it would have been very difficult to tell them apart (+ body type)."
603,"1. 실험을 처음 할 때, 무척 어려웠다. 하지만 익숙해짐에 따라, 몇 몇 사진은 풀 수 있었다. 얼굴이 엄청 개성적인 분은 좀 더 확신 있게 풀게 된다. 각도가 틀어진 사진은 풀기가 어렵다. 얼굴 형태 (넙적한, 계란형) 등을 보고 풀었다. 어떤 문제는 픽셀 사진을 보고 헷갈렸는데, 4개 선택지 중 나머지 3개가 너무 아니어서 푼 문제도 있었다. 그래서 OX 문제, 또는 주관적으로 해요 하나라는 생각이 들었다.","The first time I tried the experiment, I found it very difficult, but as I got used to it, I was able to solve some pictures. If you have a very unique face, you will be more confident. It's harder to solve photos with a bad angle. I solved it by looking at the shape of the face (oval, egg-shaped). Some questions I got confused by the pixelated photos, and others I solved because the other three out of four choices were too different, so I realized it was either an OX problem or a subjective one.","The first time I tried the experiment, I found it very difficult, but as I got used to it, I was able to solve some pictures. If you have a very unique face, you will be more confident. It's harder to solve photos with a bad angle.","I solved it by looking at the shape of the face (oval, egg-shaped). Some questions I got confused by the pixelated photos, and others I solved because the other three out of four choices were too different, so I realized it was either an OX problem or a subjective one."
604,30-40%는 인식 가능. 60%는 정체도 모르겠음(어려움ㅠ) 인식할 때 이목구비(눈 크기나 모양 등)랑 얼굴형(계란? 길쭉? 통통 등) 위주로 체크했음 + 느껴지는 분위기…? 표현은 불가능하지만. 또한 머리카락 스타일 등도 보게 됨. 성별 먼저 추론. 그 분 얼굴형 통해서 이물상한지 통통한지 등을 판별. 눈코입 모양 및 사이즈로 확인. 선지 중에 성별이 제한되는 사람이 있으면 인식이 어려워도 선택이 쉬워질 수 있음. 문제를 많이 풀수록 눈에 피로감이 쌓여서 점점 인식이 저하되는 느낌.,"30-40% recognizable. 60% don't even know who they are (difficulty) When recognizing them, I checked the facial features (eye size, shape, etc.) and face shape (egg, elongated, chubby, etc.) + the vibe...? I can't express it, but I also look at hair style, etc. Gender first. Determine whether the person is foreign or chubby through their face shape. The shape and size of the eyes and nose. If there is a gender-restricted person in the prophecy, it can make the choice easier, even if it is difficult to recognize. The more questions you solve, the more fatigued your eyes become and the more difficult it is to recognize.","30-40% recognizable. 60% don't even know who they are (difficulty) The more questions you solve, the more fatigued your eyes become and the more difficult it is to recognize.","When recognizing them, I checked the facial features (eye size, shape, etc.) and face shape (egg, elongated, chubby, etc.) + the vibe...? I can't express it, but I also look at hair style, etc. Gender first. Determine whether the person is foreign or chubby through their face shape. The shape and size of the eyes and nose. If there is a gender-restricted person in the prophecy, it can make the choice easier, even if it is difficult to recognize."
605,"명암 없이 완전한 흑백으로 이루어진 사진과 점의 개수가 적을수록 어려웠습니다. 인식할 때는 앞머리와 턱의 모양을 중점으로 보고 귀와 코 위치를 세부적으로 봤습니다. 상대적인 귀 위치에 따른 코 길이로 턱이 비슷하게 생긴 사람을 구분했습니다. 동일한 인물들이 계속 나와서 뒤로 갈수록 얼굴 점선의 특정짓는 윤곽을 기억하기 보다 실제 이미지측 남자를 기억하며 생각이 굳어졌습니다. 혼자 머릿속으로 ‘앞머리 없는 남자,’ ‘턱이 뾰족한 남자,’ ‘머리가 풍성한 아주머니,’ 이렇게 이름지어 점선 이미지를 보고 바로 특정 그분을 찾으려 했습니다.","It was more difficult with photos that were completely black and white with no contrast and fewer dots. When recognizing, I focused on the shape of the bangs and chin and looked closely at the ear and nose positions. I distinguished between people with similar chins by the length of their noses in relation to the position of their ears. As I kept seeing the same people over and over again, I found myself remembering the actual man in the image rather than remembering the specific outlines of the dotted lines on his face. I labeled the dotted images in my head as ""the guy with no bangs,"" ""the guy with the pointy chin,"" ""the lady with the full head of hair,"" and so on, trying to find the specific person.",It was more difficult with photos that were completely black and white with no contrast and fewer dots.,"When recognizing, I focused on the shape of the bangs and chin and looked closely at the ear and nose positions. I distinguished between people with similar chins by the length of their noses in relation to the position of their ears. As I kept seeing the same people over and over again, I found myself remembering the actual man in the image rather than remembering the specific outlines of the dotted lines on his face. I labeled the dotted images in my head as ""the guy with no bangs,"" ""the guy with the pointy chin,"" ""the lady with the full head of hair,"" and so on, trying to find the specific person."
